4871.archive|DLT206 + mss
8660.uconn.pvfs1.filename|r8660
8367.jlab.jcache.filename|r8367.evt
8374.jlab.scratch.size|1140588544
8207.uconn.pvfs0.filename|r8207
8282.uconn.pvfs0.date|972567060
8160.jlab.jcache.date|972574920
8699.uconn.pvfs1.size|930160640
8570.uconn.pvfs1.size|947482624
7646.epics.beam energy|5653
7649.epics.bpm_2_y|0.218
7650.epics.Halo U upstream|38161
7832.epics.bpm_2_i|0.000
7852.epics.Tagger dump R|1593098
7903.epics.Halo D upstream|10819
7963.epics.Helium pressure|0.59
7993.epics.Tagger dump R|1054112
8006.epics.bpm_2_i|130.851
8029.epics.B slit position|8.00
8048.epics.Radiator D|0.00
8102.epics.Master OR|22562130
8103.epics.Tagger dump L|5146
8141.epics.Radiator D|0.00
8177.epics.Radiator A|0.00
8179.epics.bpm_1_i|130.202
8208.epics.Tagger dump L|24295
8209.epics.Master OR|28216598
8210.epics.bpm_1_i|0.000
8223.epics.Halo L upstream|753
8255.epics.Halo U upstream|9
8292.epics.Tagger dump U|0
8332.epics.bpm_1_x|-1.547
8333.epics.Halo R upstream|971
8338.epics.TimeStamp|Thu Jun 22 20
8354.epics.beam current|79.638
8375.epics.B slit position|16.54
8376.epics.Radiator out|0
8411.epics.TimeStamp|Wed Jun 28 04
8412.epics.bpm_1_y|0.544
8415.epics.Radiator B|0.00
8468.epics.C slit position|-1.00
8580.epics.Radiator C|0.00
8596.epics.Radiator D|0.00
8616.epics.Halo L upstream|1002
8647.epics.bpm_1_i|75.824
8674.epics.Master OR|13
8675.epics.Tagger dump L|488
8695.epics.Radiator D|0.00
8703.epics.Tagger dump R|18380
7435.timecorr|467.714203
7514.time|1574.58997
7705.time|1376.36987
4874.archive|DLT206 + mss
4906.trigger|L1 only
5432.comment| 
5477.archive|mss
5616.size|255 Mb
5656.filename|r5656.evt
5680.energy|4 GeV
6217.comment|
6269.trigger|Standard Data
6300.date|932132160
6473.filename|r6473.evt
6591.archive|mss
6762.energy|5.5 GeV
7150.trigger|cosmic
7254.comment|Normal Trigger DOR@250--changed DOR threshold after run to 150
7428.trigger|Standard Data
7435.archive|mss
7489.size|501.1 Mb
7571.comment|
